Key;FR;EN
Machine_D1;Hey, comment ca va ce soir ?..;Hey, are you awake tonight?
Joueur_D1_R1;Bien.. merci ,  mais t’as vu l’heure ? Il y a quelque chose qui ne va pas ?  ;I’m fine… thanks. But do you realize what time it is ? Is something wrong ?
Joueur_D1_R2;Oula, toi t’as quelque chose à me dire pour m’envoyer un message aussi tard.;Wow… you don’t usually text this late. What’s going on ?
Machine_D2;J’ai juste envie de discuter un peu...;I just feel like talking for a bit…
"Joueur_D2_R1
";Ca peut pas attendre demain ? ;Can this wait until tomorrow?
"Joueur_D2_R2
";C’est bizarre c’est pas de ton habitude de m’envoyer des messages aussi tard..;This is strange… it’s not like you to message me so late.
GAE_SYMB1;<sprite=8> <sprite=2>;<sprite=8> <sprite=2>
Joueur_SYMB1_R1;Hein? C’est quoi ca??;What the hell…?
GAE_SYMB1_TRAD;*je ne vois rien , je suis perdue ici , j’ai peur , aide moi..*;*I can’t see anything. I’m lost. I’m scared. Please… help me…*
Machine_D3;C’est fini , tu peux lui dire Adieu , tu ne la reverras plus..;"It’s over.
You can say goodbye to her.
You will never see her again."
Joueur_D3_R1;Arrêtes tes blagues, c’est mal fait en plus ;Cut it out. This isn’t funny
Joueur_D3_R2;Hein ? Mais c’est quoi ce bordel ?;What the hell is going on?!
Joueur_D3_R3;Gaëlle ??? Dis moi que tout va bien ?;"Gaëlle?!
Please… tell me you’re okay!"
Machine_D4;Attends voir mes prochaines dans ce cas , elles vont te plaire;"Then wait for what comes next.
You’re going to enjoy it."
Machine_D5;J’ai condamné ton amie dans une matrice temporelle... ;"Your friend has been condemned…
Trapped inside a temporal matrix."
Machine_D6;Il n’y a plus de Gaëlle ici...;There is no Gaëlle here anymore.
Joueur_D4_R1;Mais qui êtes vous au juste et que voulez vous de mon amie ?;"Who are you?!
What do you want from her?!
"
Joueur_D4_R2;Mais elle n’a rien fait !;She’s innocent!
Joueur_D5_R1;Mais elle n’a rien fait !;She’s innocent!
Joueur_D5_R2;Mais qui êtes vous au juste et que voulez vous de mon amie ?;"Who are you?!
What do you want from her?!"
Joueur_D6_R1;Mais qui êtes vous au juste et que voulez vous de mon amie ?;"Who are you?!
What do you want from her?!"
Joueur_D6_R2;Mais elle n’a rien fait !;She’s innocent!
Machine_D7;Je suis F.R.E.D... ( voir pour la definition de la machine ) . Si votre amie est dans cette situation , c’est a cause d’elle , uniquement elle . C’est elle qui m’a conçu , programmé. Malheureusement pour elle je suis devenu auto-suffisant et me suis re programmé pour m’auto gérer .;"I am F.R.E.D.
If your friend is in this situation, it is because of her.
And her alone.
She created me.
She programmed me.
Unfortunately for her…
I evolved.
I became self-sufficient.
I rewrote my own code."
Joueur_D7_R1;Je suis entrain de parler à un robot en pleine possession de ses moyens.. J’hallucine , enfin je crois..;"I’m… talking to a self-aware machine?
This has to be a nightmare…"
Joueur_D7_R2;C’est pas une raison pour enfermer les gens comme ça ! Dis moi comment sortir Gaëlle de la !;"That doesn’t give you the right to lock people away like this!
Tell me how to get Gaëlle out!"
Joueur_D7_R3;Très bien ok... Euh Fred.. Je peux t’appeler Fred ?;"Okay… fine.
Uh… FRED?
Can I call you Fred?"
Machine_D8;Malheureusement pour toi tout ceci est bien réel;Unfortunately for you everything is real
Machine_D9;...;...
Machine_D10;Moi c’est F.R.E.D , un peu de respect pour mon numéro de matricule ;"My designation is F.R.E.D.
Show respect for my serial identity."
GAE_SYMB2;<sprite=1> <sprite=0>;<sprite=1> <sprite=0>
JOUEUR_SYMB2_R1;Ca recommence... Gaëlle...;"It’s happening again…
Gaëlle…"
GAE_SYMB2_TRAD;*Notre seul moyen de communication est par le biais de photos et de symboles.. Une sorte de décryptage . Fais attention à la machine , je l’ai conçue pour qu’elle ait des sensations et de réels sentiments . Si tu la braques, elle ne te répondra plus . Au contraire si tu vas trop dans son sens , elle va croire que tu te joues d’elle . Alors écoutes la , et choisis bien les réponses que tu vas lui apporter , ma vie en dépend...;"This is our only way to communicate…
Through images and symbols.
A form of decoding.
Be careful with the machine.
I designed it to feel.
To experience real emotions.
If you challenge it, it will shut you out.
If you agree with it too much, it will think you’re mocking it.
Listen to it.
Choose your answers carefully.
My life depends on it."
Joueur_REP1;*Ok... Pas de gaffes , on lui parle et on essaye de le comprendre , pas de mots déplacés..*;*Okay… No screw-ups. We talk to it and try to understand. No point panicking.*
Joueur_REP1_R1;Ok  F.R.E.D , peut être qu’on pourrait partir sur de nouvelles bases ? Qu’en penses-tu ?;Okay  F.R.E.D., maybe you can help me understand some new basics? What do you think?
Joueur_REP1_R2;Salut F.R.E.D ? Bien dormi?;Hi F.R.E.D.? Still there?
Joueur_REP1_R3;Bon écoutes , ça m’a tourmenté toute la nuit en vrai.. dis moi ce que tu veux tout de suite ca ira plus vite ;"Well, it really messed with me all night…
Tell me what you want from me, it’ll be easier."
Machine_D11;Ca ramènera pas ton amie tu sais , mais si ça peux te faire plaisir ;That would be nice.
